IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo,,,,,,,,,,,,,,,,,,,,,,,,,
2467-138-L121;SERVICIO DE LIMPIEZA DE FOSAS SEPTICAS, SECTOR SANTA CLARA, CAMINO A CATO KM 7, SECTOR CAPILLA COX, CHILLÁN;L1;Adjudicada a uno o varios proveedores;18/05/2021 16:08:10;requiere contratar el servicio de limpieza de fosas a 38 beneficiarios del Departamento de Asistencia Social  de la DIDECO, del Sector Santa Clara, Camino A Cato Km 7, Sector Capilla Cox comuna de Chillan, solicitado en suministro N°486 Dirección de Desarrollo Comunitario – Asistencia Social y según especificaciones técnicas adjuntas;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE CHILLAN,,,,,,,,,,,,,,,,,
1057509-128-LE21;“CONVENIO DE MANTENCION PREVENTIVA Y REPARACION DE EQUIPOS DE ALIMENTACION y HORNOS UNOX DEL HCHM”;LE;Adjudicada a uno o varios proveedores;07/06/2021 14:31:18;El Hospital Clínico Herminda Martín de Chillán llama a Licitación Pública a través del Portal Mercado Público, para  suscribir  convenio  para  la  mantención  preventiva  y  reparación  de  equipos  de  alimentación especificados en las bases técnicas, de esta forma mantener en buen funcionamiento los equipos, de acuerdo a protocolos técnicos y administrativos establecidos por el Hospital. Se pretende obtener la mejor calidad y oportunidad en los servicios requeridos a un precio conveniente.;CLP;PUBLICADO;ESTIMADO;26.500.000;HOSPITAL CLINICO HERMINDA MARTIN,,,,,,,,,,,,,,,,,,,,,,
2583-165-L121;Adquisición Herramientas para Soporte /Programa Apoyo a la Gestión/DISAM/SOPE 42775/VFG.;L1;Adjudicada a uno o varios proveedores;14/07/2021 18:01:55;Adquisición de Herramientas para Soporte Técnico perteneciente al Departamento de Informática DISAM de la Red de Salud de la Ilustre Municipalidad de Maipú.;CLP;PUBLICADO;ESTIMADO;2.365.368;I MUNICIPALIDAD DE MAIPU,,,,,,,,,,,,,,,,,,,,,,,,,
2436-213-LE21;Servicio de mantención a motor de bomba, bomba de agua, tableros eléctricos y conexión de respaldo en Estadio Bicentenario La Granja, según Oficio Ord. N°109;LE;Adjudicada a uno o varios proveedores;06/08/2021 16:43:52;Depto. Deportes requiere el Servicio de mantención a motor de bomba, bomba de agua, tableros eléctricos y conexión de respaldo en Estadio Bicentenario La Granja, según Oficio Ord. N°109, S.P.N°292392-93;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE CURICO,,,,,,,,,,,,,,,,,,
3527-31-L121;ADQUISICION DE MATERIALES CON ENTREGA EN CAMPAMENTO BASE DE CUERPO MILITAR DEL TRABAJO ;L1;Adjudicada a uno o varios proveedores;18/08/2021 06:29:15;El CUERPO MILITAR DEL TRABAJO - SUB JEFATURA ZONAL ARICA- en adelante CMT- llama a las personas naturales y jurídicas a presentar ofertas en proceso de licitación pública para contar con la adquisición de materiales según características técnicas, para el Cuerpo Militar del Trabajo Sub Jefatura Zonal CMT Arica, dando cumplimiento a las características técnicas, condiciones comerciales y económicas definidas en estas bases de licitación.;CLP;PUBLICADO;DISPONIBLE;1.724.510;COMANDO DE APOYO A LA FUERZA,,,,,,,,,,,,,,,,,,,,,,
3902-37-L121;ADQ., REP. E INSTALACIÓN MOTOR POZO PROF., BULNES;L1;Adjudicada a uno o varios proveedores;16/04/2021 14:44:41;La I. Municipalidad de Bulnes, ha dispuesto la Licitación Pública para la ADQUISICIÓN, REPARACIÓN E INSTALACIÓN MOTOR POZO PROFUNDO, ESTADIO MUNICIPAL DE LA COMUNA DE BULNES, de acuerdo a Especificaciones Técnicas, Bases Administrativas Especiales y demás antecedentes.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE BULNES,,,,,,,,,,,,,,,,,,
995-7-LE21;Adq. 7.000 M3 Material Granular bajo 3”,  Provinc;LE;Adjudicada a uno o varios proveedores;06/04/2021 17:23:00;La Dirección de Vialidad, dentro de su plan de trabajo de mantención de caminos que afectan positivamente al ámbito social y productivo de la Región de Atacama, requiere adquirir el material que más adelante se detalla, para la ejecución de la operación 7.306.04F02, Recebo de Carpeta Granular, destinado a la construcción de caleteras en la Ruta 30 Cruce Ruta 5 – Travesía – Copiapó – Cruce Ruta 5 Toledo, Provincia de Copiapó.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,,,,,,,,,,,,,,,,,
1079967-13-LE21;LIMPIEZA FOSAS SÉPTICAS UNIDADES POLICIALES;LE;Adjudicada a uno o varios proveedores;20/04/2021 12:42:00;LIMPIEZA FOSAS SÉPTICAS UNIDADES POLICIALES I ZONA TARAPACA;CLP;PUBLICADO;DISPONIBLE;25.347.000;DIRECCION DE LOGISTICA DE CARABINEROS,,,,,,,,,,,,,,,,,,,,,,,,,
2324-94-L121;ADQUISICION DE VARILLAS Y ACCESORIOS DE LIMPIEZA.;L1;Adjudicada a uno o varios proveedores;15/04/2021 09:29:18;ADQUISICION DE VARILLAS Y ACCESORIOS DE LIMPIEZA//DEPARTAMENTO DE ASEO//DIRECCION DE MEDIO AMBIENTE, ASEO Y ORNATO.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE PUERTO MONTT,,,,,,,,,,,,,,,,,,,,,,,,
5154-1-L121;S.C. N° 29598. MANTENCION Y REPARACION DE EQUIPOS DEL LABORATORIO CLINICO UPLA.;L1;Adjudicada a uno o varios proveedores;21/04/2021 16:42:38;S.C. N° 29598. MANTENCION Y REPARACION DE EQUIPOS DEL LABORATORIO CLINICO UPLA.;CLP;PUBLICADO;DISPONIBLE;672.350;UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUC.,,,,,,,,,,,,,,,,,,,,,,,,,
4644-6-LE21;Limpieza de baños químicos, Gore Mañihuales;LE;Adjudicada a uno o varios proveedores;27/04/2021 16:47:50;CONAF requiere contratar el servicio de desinfección, limpieza y habilitación de 5 baños químicos por 8 meses, con una frecuencia de 2 veces por mes, para el programa GORE Mañihuales, con el objeto de dar cumplimiento a la normativa vigente DS 594, que consiste en contar con baños habilitados en frentes de trabajo, asegurando el servicio sanitario a los trabajadores del programa.;CLP;PUBLICADO;DISPONIBLE;5.250.000;CORP NACIONAL FORESTAL,,,,,,,,,,,,,,,,,,
3335-18-L121;CONVENIO SUMINISTRO “LIMPIEZA DE FOSAS PARA ESTABLECIMIENTOS EDUCACIONALES D.A.E.M, JARDINES INFANTILES (V.T.F.) Y DEPARTAMENTO ADMINISTRATIVO DE EDUCACIÓN MUNICIPAL LA UNIÓN, 2021”.;L1;Adjudicada a uno o varios proveedores;02/02/2021 12:40:22;CONVENIO SUMINISTRO “LIMPIEZA DE FOSAS PARA ESTABLECIMIENTOS EDUCACIONALES D.A.E.M, JARDINES INFANTILES (V.T.F.) Y DEPARTAMENTO ADMINISTRATIVO DE EDUCACIÓN MUNICIPAL LA UNIÓN, 2021”.  ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Ilustre Municipalidad de La Unión,,,,,,,,,,,,,,,,,,,,,
4121-4-LQ21;ABASTO AGUA POTABLE PARTICULAR, VARIOS SECTORES RURALES DE NINHUE;LQ;Adjudicada a uno o varios proveedores;04/04/2021 13:25:00;INSTALACION DE SOLUCIONES PARTICULARES DE AGUA POTABLE A 19 FAMILIAS CORRESPONDIENTES A VARIOS SECTORES RURALES DE LA COMUNA.;CLP;PUBLICADO;DISPONIBLE;158.728.447;I MUNICIPALIDAD DE NINHUE,,,,,,,,,,,,,,,,,,,,,,,,
1116007-20-LE21;Adquisición de esparcidores de liquído.;LE;Adjudicada a uno o varios proveedores;10/06/2021 12:15:11;Adquisición de esparcidores de líquido para la Zona Aeroportuaria Austral, solicitado por la Oficina de Programación y Control, mediante formulario de requerimiento N° 09/9/PYC/0016, esta institución retiene el 2% del total facturado de acuerdo al Art. 37 de la ley 16.752.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;DIRECCION GENERAL DE AERONAUTICA CIVIL,,,,,,,,,,,,,,,,,,,,,,
2436-228-L121;Adquisición de materiales de ferretería necesarios para reparación y elaboración tapa cámaras;L1;Adjudicada a uno o varios proveedores;13/08/2021 13:00:13;Depto. de Aseo y Ornato requiere la Adquisición de materiales de ferretería necesarios para reparación y elaboración tapa cámaras, S.P.Nº 300296 al momento de cotizar ver y completar detalle en archivo adjunto, enviar valor total neto;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE CURICO,,,,,,,,,,,,,,,,,,,,,,,
2129-12-LE21;REPARACION Y AMPLIACION DE VIVIENDA HABITABILIDAD;LE;Adjudicada a uno o varios proveedores;11/06/2021 10:24:58;Construcción de Reparaciones y ampliaciones en formato de OBRA VENDIDA, según planos, especificaciones técnicas, estándares técnicos Fosis, Ordenanza General de Urbanismo y Construcciones, Ley General de Urbanismo y Construcciones. Decreto 66-207 Reglamento GAS, Decreto 236 Minsal Alcantarillados Rurales, Guía accesibilidad universal SENADIS, Nch4-2003 Electricidad, Manual Reacondicionamiento Térmico y RIDDA MOP. Ver BASES ADMINISTRATIVAS ADJUNTA;CLP;PUBLICADO;DISPONIBLE;8.981.765;Ilustre Municipalidad de Ranquil,,,,,,,,,,,,,,,,
835727-44-LE21;ADQUISICIÓN DE CAMAS AMERICANAS, MUEBLES, COCINAS Y REFRIGERADORES, PARA DEPENDENCIAS MUNICIPALES;LE;Adjudicada a uno o varios proveedores;26/05/2021 22:39:34;ADQUISICIÓN DE CAMAS AMERICANAS, MUEBLES, COCINAS Y REFRIGERADORES, PARA DEPENDENCIAS MUNICIPALES;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Ilustre Municipalidad de General Lagos,,,,,,,,,,,,,,,,,,,
2295-43-LQ21;MEJORAMIENTO JARDÍN INFANTIL NUEVO HORIZONTE, TALCA;LQ;Adjudicada a uno o varios proveedores;26/04/2021 13:11:00;Consiste en la reparación de techumbre, cubiertas, canaletas, forros y bajadas, reparación de revestimientos de tabiques, cielos, cambio de puertas y ventanas con sus protecciones, instalación de artefactos sanitarios, eléctrica, gas y aguas lluvias, equipamiento de cocina, en todas las ventanas cortinas roller. En las Especificaciones Técnicas adjuntas, se encuentran los detalles de la obra. ;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;I MUNICIPALIDAD DE TALCA,,,,,,,,,,,,
4121-5-LQ21;Abasto De Agua Potable Particular Sectores Rurales De Ninhue Chequen Quirao;LQ;Adjudicada a uno o varios proveedores;04/04/2021 22:59:00;INSTALACION DE SOLUCIONES PARTICULARES DE AGUA POTABLE A 19 FAMILIAS CORRESPONDIENTES LOS S ECTORES RURALES DE CHEQUEN Y QUIRAO, DE LA COMUNA DE NINHUE;CLP;PUBLICADO;DISPONIBLE;154.633.758;I MUNICIPALIDAD DE NINHUE,,,,,,,,,,,,,,,,,,,,,,,,
4050-51-L121;ADQUISICIÓN DE PRODUCTOS QUIMICOS PARA CENTROS DE OPERACIÓN, PARA CAMPAÑA DE SANITIZACIÓN COMUNAL, MUNICIPALIDAD DE LONQUIMAY;L1;Adjudicada a uno o varios proveedores;12/07/2021 16:45:12;El objetivo de la presente licitación, busca la adquisición de productos químicos para centros de operación, para campaña de sanitización comunal, Municipalidad de Lonquimay  Área de Implementación  La utilización de los elementos de protección personal será en la Comuna de Lonquimay, perteneciente a la Provincia de Malleco, Región de la Araucanía. ;CLP;PUBLICADO;DISPONIBLE;2.800.000;I MUNICIPALIDAD DE LONQUIMAY,,,,,,,,,,,,,,,,,,
1176064-2-LR21;SERVICIOS DE MANTENIMIENTO FINANCIAMIENTO F.E.T.;LR;Adjudicada a uno o varios proveedores;04/06/2021 17:24:37;Mantenciones y reparaciones dependiendo del Establecimiento Educacional EE y jardín infantil a intervenir con mejoras de mantención y reposición en el mobiliario ,  sistema sanitario, de agua potable, gas, eléctrica, ventilación e iluminación, reparaciones en toda la infraestructura de los jardines Infantiles carpintería, albañilería, hormigones, cambios de cubiertas, pisos, muros y pinturas;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;SERVICIO LOCAL DE EDUCACION PÚBLICA DE ATACAMA,,,,,,,,,,,,,,
778998-6-L121;Servicio de Mantenimiento y Reparación Equipos del Rancho Centralizado ;L1;Adjudicada a uno o varios proveedores;19/05/2021 15:35:00;Servicio para mantenimiento y reparación si fuera el caso de algún equipo que este en mal estado o cambio de repuesto, si fuera necesario para su correcto funcionamiento  conforme al siguiente detalle:  Marmita 250 lts. Cámara mantenedora de verduras. Cocina industrial de 8 platos. Horno industrial 3 puertas a gas. Sartén basculante industrial.. Extractores de aire.  ;CLP;PUBLICADO;ESTIMADO;4.500.000;COMANDO DE APOYO A LA FUERZA,,,,,,,,,,,,,,,,,,,,,,,,
5657-12-LE21;POZO PROFUNDO  PROVISIÓN  AGUA  RIEGO HUILLILEMU;LE;Adjudicada a uno o varios proveedores;10/05/2021 12:37:33;Se requiere los servicios de perforación para la provisión de agua para riego en el Huerto y Vivero Huillilemu, de acuerdo a las especificaciones establecidas en las Bases Técnicas de esta licitación.;CLP;PUBLICADO;DISPONIBLE;20.700.000;CORP NACIONAL FORESTAL,,,,,,,,,,,,,,,,,,,,,,,,
2460-56-L121;LIMPIEZA MENSUAL FOSA SÉPTICA EN SANTA ISABEL 1236 (VIVERO MUNICIPAL);L1;Adjudicada a uno o varios proveedores;11/05/2021 13:40:57;Para mantener en optimas condiciones higiénicas la limpieza de aguas servidas de este recinto.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE PROVIDENCIA,,,,,,,,,,,,,,,,,,,,,,,,,
2408-98-L121;MADERAS, MEMBRANA DE CURADO Y TERCIADO PARA REP. Y MANTENCIÓN VEREDAS;L1;Adjudicada a uno o varios proveedores;20/05/2021 12:12:22;MADERAS, MEMBRANA DE CURADO Y TERCIADO PARA REP.APARICIÓN Y MANTENCIÓN VEREDAS.  TALLERES MUNICIPALES;CLP;PUBLICADO;ESTIMADO;4.000.000;I MUNICIPALIDAD DE LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,
1027-9-LQ21;ADQUISICIÓN DE MATERIAL GRANULAR HOMOGENEIZADO CON BISCHOFITA BAJO 2 PROVINCIA DE HUASCO;LQ;Adjudicada a uno o varios proveedores;08/07/2021 12:14:24;Que, la Dirección de Vialidad, dentro de su plan de trabajo de mantención de caminos que afectan positivamente al ámbito social y productivo de la Región de Atacama, requiere Adquirir 11.200 M3 de Material Granular Homogeneizado con Bischofita bajo 2”, para la provincia de Huasco.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,,,,,,,,,,,,,,,,,,,,
3191-108-LE21;ADQ. REPUESTOS MQ ANESTESIA,MONITORES E INCUBADORA;LE;Adjudicada a uno o varios proveedores;15/07/2021 13:02:56;Que, existe la necesidad para efectuar la adquisición de repuestos para Máquinas de Anestesia, Monitores e Incubadora del Hospital Naval “Almirante Nef”, por cuanto resulta esencial para su normal funcionamiento.;CLP;PUBLICADO;ESTIMADO;7.000.000;DIRECCION DE ABASTECIMIENTO DE LA ARMADA,,,,,,,,,,,,,,,,,,,,,
750998-23-LP21;Conservación Sala Cuna y Jardín Infantil Huelemu;LP;Adjudicada a uno o varios proveedores;30/06/2021 14:49:24;La I. Municipalidad de Lo Espejo, requiere la contratación para ejecutar la obra que consiste en la conservación y mejora de los bienes del establecimiento: regularización servicios higiénicos párvulos, mantención red de gas, modificación pendiente patio norte e instalación de un toldo sombreado, instalación de ventanas con termopanel y aire acondicionado en las salas docentes. Segundo llamado.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;I MUNICIPALIDAD DE LO ESPEJO,,,,,,,,,,,,,,,,,,,,,
2311-60-L121;MALETA ATENCION ODONTOLOGICA, TABURETE Y SILLA ERGONOMETRICA ;L1;Adjudicada a uno o varios proveedores;26/04/2021 12:31:12;Maleta odontologica en polimero duroque incluya dos mangueras midwest, jeringa triple, eyector con reservorio, lamapra de fotocurado, ultrasonido, compresor,  reservicio para agu, reostato similar a CILA;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;ILUSTRE MUNICIPALIDAD DE MOLINA ,,,,,,,,,,,,,,,,,
2306-10-LP21;CONTRATO SUMINISTRO PETROLEO;LP;Adjudicada a uno o varios proveedores;23/03/2021 18:08:04;CONTRATO DE SUMINISTRO PETROLEO PARA CALDERAS DE LOS ESTABLECIMIENTOS EDUCACIONALES MUNICIPALES Y DEPENDENCIAS DAEM, SEGUN BASES ADMINISTRATIVAS, TERMINOS TECNICOS DE REFERENCIA Y DEMAS ANTECEDENTES DE LA LICITACION ADJUNTOS.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;I MUNICIPALIDAD DE OSORNO,,,,,,,,,,,,,,,,,,,,,,,
1057509-173-LE21;“CONVENIO MANTENCIÓN PREVENTIVA Y REPARACIÓN DE ASCENSORES FUJI YIDA”;LE;Adjudicada a uno o varios proveedores;01/07/2021 16:34:52;El Hospital Clínico Herminda Martín de Chillán llama a Licitación Pública a través del Portal Mercado Público, para suscribir “Convenio Mantención Preventiva y Reparación de Ascensores Fuji Yida” de acuerdo a requerimientos especificados en Bases Administrativas y Técnicas de la presente licitación. En ellas se fijan los procedimientos, términos y exigencias que regulan la contratación del servicio mantención preventiva y reparación de Ascensores Fuji Yida utilizados en el Hospital. Se pretende obtener la mejor calidad y oportunidad de los servicios a un precio conveniente.;CLP;PUBLICADO;ESTIMADO;22.000.000;HOSPITAL CLINICO HERMINDA MARTIN,,,,,,,,,,,,,,,,,,,,,,,
4174-27-LP21;Agua Potable sector La Horca;LP;Adjudicada a uno o varios proveedores;06/07/2021 15:53:24;se requiere contratar las obras para la construcción de un pozo de 60 mts de profundidad aprox. una caseta de tratamiento, una torre de 10 mts de alto con estanque de acumulación de 5.000 lts y red de distribución de agua potable  para 15 familias en el sector rural de La Horca.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;Ilustre Municipalidad de Quirihue,,,,,,,,,,,,,,,,,,,,,,,,
2986-25-L121;SUMINISTRO SERVICIO LIMPIEZA DE FOSAS SEPTICAS;L1;Adjudicada a uno o varios proveedores;26/07/2021 13:03:38;CONTRATO SUMINISTRO SERVICIO LIMPIEZA DE FOSAS SEPTICAS AÑO 2021-2022 EN CENTROS DE SALUD DEPENDIENTES DEL DEPARTAMENTO DE SALUD MUNICIPAL DE LA COMUNA DE LOS LAGOS.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE LOS LAGOS,,,,,,,,,,,,,,,,,,,,,,,,,
1736-160-L121;“LICITACION DE CARROS PORTA OXIGENO CILINDROS Y REGULADORES M722/DISAM/2021 SC 779 DISAM”;L1;Adjudicada a uno o varios proveedores;25/06/2021 15:08:10;equipos de referentes a oxigeno,  para sar y cesfam de El Bosque de acuerdo a detalle informado en anexos conformantes de la presente licitación,  la cual es por el total de los productos requeridos.;CLP;PUBLICADO;DISPONIBLE;4.500.000;I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,,,,,,,,,,,,,,,,,,,,,,,
1080251-3-L121;SISTEMA DE RIEGO HIDRAULICA SOLAR.;L1;Adjudicada a uno o varios proveedores;01/07/2021 17:27:33;SISTEMA DE RIEGO HIDRAULICA- SOLAR, QUE FACILITEN Y MEJOREN LA FUNCIONALIDAD DE RIEGO DIARIO, EN VIVERO UBICADO EN EL SECTOR DE MANTILHUE COMUNA DE RIO BUENO, EN DONDE CONAF CUENTA CON ZONAS DE PLANTAS REPICADAS Y EMBOLSADAS, LO QUE NO SE LOGRA DEMANDAR CON EL SISTEMA DE MOTOBOMBA ACTUAL..;CLP;PUBLICADO;DISPONIBLE;4.700.000;CORP NACIONAL FORESTAL,,,,,,,,,,,,,,,,,,,,,
4457-22-L121;MEDICAMENTOS E INSUMOS PROGRAMA RESOLUTIVIDAD;L1;Adjudicada a uno o varios proveedores;01/06/2021 16:53:47;MEDICAMENTOS E INSUMOS PROGRAMA RESOLUTIVIDAD COMPONENTE N-2 TELE-DERMATOLOGIA;CLP;PUBLICADO;DISPONIBLE;1.600.000;I MUNICIPALIDAD DE HUALQUI,,,,,,,,,,,,,,,,,,,,,,,,,
362-13-LE21;INSTALACIÓN RED DE CALEFACCIÓN POR RADIADORES;LE;Adjudicada a uno o varios proveedores;11/08/2021 15:24:24;Hospital Dr. Benjamín Pedreros de Chanco llama a Licitación Pública a través del Portal Mercado Público, para adquirir un convenio por 5 años para INSTALACIÓN RED DE CALEFACCIÓN POR RADIADORES, de acuerdo a requerimientos especificados en Bases Administrativas y Técnicas de la presente licitación. Se pretende obtener la mejor calidad y oportunidad en la prestación de los servicios a un precio conveniente.  En el contexto de mejorar la atención de los servicios de Rayos, sala de hospitalizados área respiratoria y no respiratoria, subdirección médica, servicio de urgencia y urgencia de maternidad del hospital de chanco, es importante disponer de un sistema de calefacción que permita el correcto funcionamiento de estos recintos. Es por esto que resulta fundamental efectuar la reparación e instalación del sistema de calefacción, lo que permitirá entregar el confort adecuado a usuarios y funcionarios durante los días de frío.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD DEL MAULE HOSPITAL DE,,,,,,,,,,,,,,,,,,
5053-43-LE21;Bomba de vació e interruptor de llamada;LE;Adjudicada a uno o varios proveedores;28/04/2021 15:37:16;Se requiere adquirir bomba de vacio e interruptores de llamado para cambiar existentes por encontrarse en mal estado.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,,,,,,,,,,,,,,,,,,,,,,,,,
3134-40-L121;ADQUISICIÓN DE HERRAMIENTAS ELÉCTRICAS Y ACCESORIOS;L1;Adjudicada a uno o varios proveedores;22/03/2021 10:48:12;EFECTUAR LA ADQUISICIÓN DE HERRAMIENTAS ELÉCTRICAS Y ACCESORIOS PARA DEPTO. TECMAR;CLP;PUBLICADO;DISPONIBLE;3.493.840;DEPTO BIENESTAR SOCIAL (M) 3RA ZONA NAVA,,,,,,,,,,,,,,,,,,,,,,,,,
4174-12-LQ21;Soluciones individuales de agua Casa Blanca;LQ;Adjudicada a uno o varios proveedores;09/04/2021 12:00:10;se contempla la construcción de 9 pozos entre 24 y 30 mt de profundidad, con sus respectivas casetas de tratamiento, estanque de acumulación, extracción mediante bomba eléctrica, el tratamiento del agua y la distribución mediante bomba a la vivienda.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;Ilustre Municipalidad de Quirihue,,,,,,,,,,,,,,,,,,,,,
2322-40-L121;Adquisición equipamiento para la vivienda Programa Habitabilidad 2019 (guardar y cocina) ;L1;Adjudicada a uno o varios proveedores;09/04/2021 14:52:57;Adquisición equipamiento para la vivienda Programa Habitabilidad 2019 (guardar y cocina) ;CLP;PUBLICADO;ESTIMADO;3.031.000;I MUNICIPALIDAD DE VALLENAR,,,,,,,,,,,,,,,,,,,,,,,,,
2548-28-L121;RETIRO DE AGUAS SERVIDAS DE FOSAS SEPTICAS;L1;Adjudicada a uno o varios proveedores;07/05/2021 15:59:58;RETIRO DE AGUAS SERVIDAS DE FOSAS SEPTICAS EN POSTAS RURALES Y OTRAS DEPENDENCIAS DE ESTAS, PERTENECIENTES AL DEPARTAMENTO DE SALUD MUNICIPAL DE PADRE LAS CASAS;CLP;PUBLICADO;DISPONIBLE;2.000.000;I MUNICIPALIDAD DE PADRE LAS CASAS,,,,,,,,,,,,,,,,,,,,,,,,
1736-84-LQ21;Abast. recarga mant. de cilindros y aire medicinal;LQ;Adjudicada a uno o varios proveedores;08/04/2021 13:23:48;Proveer a los Centros de Salud de la Municipalidad del servicio de arriendo, recarga y mantención preventiva y correctiva de cilindros de oxigeno y aire medicinal.;CLP;PUBLICADO;DISPONIBLE;120.000.000;I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,,,,,,,,,,,,,,,,,,,,,,,,
5651-4-LE21;SAE 146-2020 MANTENCION REPARACION INFRAESTRUCTURA;LE;Adjudicada a uno o varios proveedores;27/04/2021 12:42:41;La presente licitación tiene por objetivo la contratación de los servicios de mantención y reparación de infraestructura en unidades e inmuebles de la Corporación Nacional Forestal, región de Tarapacá, por un periodo de 24 meses, comprendido entre el mes de junio del año 2021 y el mes de mayo del año 2023, ambos meses inclusive.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;CORP NACIONAL FORESTAL,,,,,,,,,,,,,,,,,,,,,
618472-5-L121;Adquisición de materiales de construcción - Readjudicada en Id 618472-5-R121;L1;Adjudicada a uno o varios proveedores;14/07/2021 11:05:48;Adquisición de materiales de construcción para materializar reparaciones a dependencias del CECOMBAC.;CLP;PUBLICADO;DISPONIBLE;2.061.302;COMANDO DE APOYO A LA FUERZA,,,,,,,,,,,,,,,,,,,,,,,,,
608-140-R121;KSU ADQUISICIÓN DE INSUMOS OFTALMOLÓGICOS;LQ;Adjudicada a uno o varios proveedores;23/09/2020 16:01:05;EL HOSPITAL DR. GUSTAVO FRICKE REQUIERE DE LOS INSUMOS OFTALMOLÓGICOS ;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,,,,,,,,,,,,,,,,,,,,,,,,,
1079689-37-L121;ADQUISICION DE MATERIALES DE CONSTRUCCION PARA CANIL PARA GOPE AYSEN;L1;Adjudicada a uno o varios proveedores;02/07/2021 17:23:15;ADQUISICION DE MATERIALES DE CONSTRUCCION PARA CANIL PARA GOPE AYSEN;CLP;PUBLICADO;DISPONIBLE;2.109.500;DIRECCION DE LOGISTICA DE CARABINEROS,,,,,,,,,,,,,,,,,,,,,,,,,
993-54-LE21;Maquinarias y Equipos productivos.;LE;Adjudicada a uno o varios proveedores;28/05/2021 11:37:03;La Dirección de Vialidad Antofagasta, invita a presentar propuestas a licitación pública de Maquinarias y Equipos productivos.;CLP;PUBLICADO;DISPONIBLE;10.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,,,,,,,,,,,,,,,,,,,,,,,
4355-19-LE21;CAMAS Y EQUIPAMIENTO HABITABILIDAD 2019;LE;Adjudicada a uno o varios proveedores;19/03/2021 16:08:16;La necesidad de adquirir CAMAS Y EQUIPAMIENTO COMPLETO, con el fin de llevar a cabo PROYECTO “HABITABILIDAD 2019”, según memorándum N°149 emitido por la Directora de Desarrollo Comunitario.;CLP;PUBLICADO;DISPONIBLE;7.190.910;Ilustre Municipalidad de Freirina,,,,,,,,,,,,,,,,,,,,,,,
